"评定人员","经营者名称","评定结果","经营场所","评定时间"
"杨公学、陈新建","蒲江县成佳镇客家餐馆","3","蒲江县成佳镇朝阳街2号","2019-05-08"
"杨公学、陈新建","蒲江县成佳镇聚宝楼饭店","3","蒲江县成佳镇朝阳街34号","2019-05-08"
"杨公学、陈新建","蒲江县成佳镇邓记小吃店","2","蒲江县成佳镇东升街1号（兴成路11号）","2019-05-08"
"杨公学、陈新建","蒲江县成佳镇茶岛农家乐","3","蒲江县成佳镇麟凤村1组5号","2019-05-07"
"杨公学、陈新建","成都市蒲江县甘成教育咨询有限公司","3","蒲江县成佳镇麟凤村7组25栋","2019-05-07"
"杨公学、陈新建","蒲江县成佳镇香霸跑山鸡餐馆","3","蒲江县成佳镇少城路7号","2019-05-08"
"杨公学、陈新建","蒲江县成佳镇宇轩餐馆","3","蒲江县成佳镇胜利街23号","2019-05-08"
"杨公学、陈新建","蒲江县成佳镇郑记小食店","3","蒲江县成佳镇胜利街2号","2019-05-08"
"杨公学、陈新建","蒲江县成佳镇维伶饭店","4","蒲江县成佳镇胜利街71号","2019-05-08"
"杨公学、陈新建","蒲江县成佳镇江杨火锅店","3","蒲江县成佳镇胜利街85号","2019-05-08"
"杨公学、陈新建","蒲江县成佳镇张家羊肉馆","3","蒲江县成佳镇天华街9号","2019-05-07"
"杨公学、陈新建","蒲江县成佳镇棬子人家农家乐","4","蒲江县成佳镇同心村2组51号","2019-05-07"
"杨公学、陈新建","蒲江县成佳镇茶乡同心农家乐","3","蒲江县成佳镇同心村6组16号","2019-05-07"
"杨公学、陈新建","蒲江县年年鱼餐馆","3","蒲江县成佳镇同心路13号","2019-05-07"
"杨公学、陈新建","蒲江县成佳镇徐建忠餐馆","3","蒲江县成佳镇同心路143号","2019-05-07"
"陈正全、赵艳梅","蒲江县成佳镇远山茶居农家乐","3","蒲江县成佳镇万民村10组13号","2019-05-08"
"陈正全、赵艳梅","蒲江县成佳镇德平餐馆","3","蒲江县成佳镇万民村10组9号","2019-05-08"
"陈正全、赵艳梅","成都市良峰茶业有限公司","3","蒲江县成佳镇万民村11组（5栋-1-1楼1号）","2019-05-08"
"陈正全、赵艳梅","蒲江县成佳镇王麻鸭火锅店","3","蒲江县成佳镇万民村6组","2019-05-08"
"陈正全、赵艳梅","蒲江县成佳镇九段香餐馆","3","蒲江县成佳镇万民村6组6号","2019-05-08"
"陈正全、赵艳梅","蒲江县成佳镇佳和苑农家乐","3","蒲江县成佳镇万民村7组","2019-05-08"
"陈正全、赵艳梅","蒲江县成佳镇茶乡小铺农家乐","3","蒲江县成佳镇万民村8组23号","2019-05-08"
"陈正全、赵艳梅","蒲江县成佳镇味到家餐馆","3","蒲江县成佳镇西岭街1号附2号","2019-05-07"
"陈正全、赵艳梅","蒲江县成佳镇大家常餐馆","3","蒲江县成佳镇西岭街3号","2019-05-07"
"陈正全、赵艳梅","蒲江县成佳镇任江饭店","3","蒲江县成佳镇兴成路110号","2019-05-07"
"陈正全、赵艳梅","蒲江县成佳镇喜来饭店","3","蒲江县成佳镇兴成路114号","2019-05-07"
"陈正全、赵艳梅","蒲江县成佳镇浩然餐饮门市","3","蒲江县成佳镇兴成路22号","2019-05-07"
"陈正全、赵艳梅","蒲江县成佳镇高氏牛肉火锅","3","蒲江县成佳镇兴成路45号","2019-05-07"
"陈正全、赵艳梅","蒲江县成佳镇王牛肉火锅店","3","蒲江县成佳镇兴成路51号","2019-05-07"
"陈正全、赵艳梅","蒲江县成佳镇白果庭院农家乐","3","蒲江县成佳镇友助村4组52号","2019-05-07"
"杨公学、陈新建","蒲江县成佳镇绿野香农家乐","3","蒲江县成佳镇友助村8组","2019-05-07"
"杨公学、陈新建","蒲江县成佳镇荟园六合鱼","3","蒲江县成佳镇友助村8组","2019-05-07"
"杨公学、陈新建","成都市陈氏六合餐饮有限公司","3","蒲江县成佳镇友助村8组","2019-05-07"
"杨公学、陈新建","蒲江县成佳镇赵氏六合鱼庄","3","蒲江县成佳镇友助村8组7号","2019-05-07"
"杨公学、陈新建","蒲江县成佳镇三鑫茗苑农家乐","4","蒲江县成佳镇友助村8组同心路228号","2019-05-07"
"杨公学、陈新建","蒲江县成佳镇佳阳茗苑农家乐","4","蒲江县成佳镇友助村4组2幢1号","2019-05-07"